TIC,role,verdict,sector,lc_pts_in_sector,t0_shift_phase,lc_dip_sigma,compactness,n_in,n_out,dip_sigma,diff_peak_snr,centroid_offset_px,centroid_offset_arcsec,nearest_capable_TIC,nearest_capable_dist_px,nearest_capable_dTmag,n_capable_in_cutout,note
229494833,candidate,ON_TARGET,82,10873,0.0,6.8239434891098885,0.9564272484309548,72,4794,2.2081938134803205,5.187643430691672,0.5696028311078786,11.96165945326545,229494826,0.8750624481836846,4.836600000000001,32,
399552998,candidate,INCONCLUSIVE,80,7009,0.010000000000000009,13.661170755879699,0.0,1412,4285,2.8038955134286594,2.4684529096862313,0.12791755165419083,2.6862685847380074,1676150288,0.9718473820341603,7.9718,97,difference image too weak to locate the source
44533527,candidate,ON_TARGET,79,7511,-0.32499999999999996,6.828309928291571,0.8109543010542904,63,5043,4.872954108228661,7.32690248563443,0.7700735271033421,16.171544069170185,44533532,1.2573364079543086,4.174700000000001,40,
139850283,candidate,OFF_TARGET,61,10141,-0.0025000000000000022,448.58713337404413,0.8332564402530713,705,4330,333.6481608160779,399.60951858031916,1.6734592985128875,35.142645268770636,139850254,0.10651099468100897,-1.7502999999999993,7,
349702481,candidate,INCONCLUSIVE,80,11069,0.0,17.550754640930233,,0,4290,,,,,,,,,too few in/out-of-eclipse cadences in this sector
42256323,candidate,INCONCLUSIVE,41,3657,0.4625000000000001,4.940099408948315,,,,,,,,,,,,the light curve itself shows no clear eclipse in this sector
42256493,candidate,OFF_TARGET,41,18312,0.03500000000000003,59.2618155242913,0.8233050542431991,265,1458,64.70611511859333,218.26424930396823,1.2355765365657392,25.947107267880522,378271610,0.15702961776812197,0.04190000000000005,15,
230907580,candidate,UNRESOLVED,12,1054,0.0,53.408271381181585,0.9651251193376015,12,482,9.913067650341425,32.62550132100648,0.7044518543155787,14.793488940627151,230913747,0.14520938455785468,-2.139000000000001,434,a capable neighbour is as close to the dimming as the target
379653933,candidate,OFF_TARGET,10,1106,-0.015000000000000012,57.701013372596,0.8683136372887585,7,541,0.48176337191060364,15.20386195856054,5.09061098265653,106.90283063578714,976146629,0.23796057304502036,2.083500000000001,103,
330569407,candidate,OFF_TARGET,11,1077,0.0025000000000000577,54.97388292037148,0.7812609681170073,74,447,230.64138365696138,165.86557219026025,1.616192162260908,33.940035407479066,330569388,0.09426426894749032,-0.5654000000000003,302,
230376393,candidate,UNRESOLVED,74,11267,0.0,47.48957191568917,0.5391727723470906,106,6094,27.97384013859279,21.14072282019391,0.9127194203431227,19.167107827205577,230376391,0.657079335520803,-4.7134,19,a capable neighbour is as close to the dimming as the target
46896701,candidate,OFF_TARGET,12,1029,-0.007500000000000006,69.86967956068045,0.8330565054665261,105,471,26.825851923065056,177.67801818603178,1.5175672772088953,31.8689128213868,46896749,0.1607319205308883,-3.3885000000000005,186,
383287412,candidate,INCONCLUSIVE,9,1103,-0.0050000000000000044,281.654577295479,0.1646072184764308,6,415,10.805379630904383,116.05612074287545,6.338991954700619,133.118831048713,383287361,2.622373885166584,1.8977999999999984,28,dimming is spread across the cutout rather than one star (background/systematics) - source cannot be located
218193457,candidate,OFF_TARGET,12,1053,0.0,122.37049197912046,0.8164330954153718,62,461,330.0394101793727,207.36489397813048,1.823913951470471,38.30219298087989,218193532,0.08158129170516674,-2.1913,81,
220423668,candidate,ON_TARGET,32,3503,0.0025000000000000577,83.57539739336897,0.7528406757507459,86,1493,33.83195516146307,17.665564836548413,0.2770985730898002,5.8190700348858035,220423674,3.2297667824808443,1.5769000000000002,3,
244978644,candidate,OFF_TARGET,101,11004,0.012499999999999956,154.48248548666277,0.7705312592670505,307,4370,198.50913087531833,61.10324180174588,1.3779098871209092,28.936107629539094,244978645,0.20352019573129695,-1.8806999999999992,14,
