target_TIC,nbr_TIC,nbr_Tmag,sep_arcsec,nbr_disposition
1326118009,1326117914,19.7381,18.523262703724804,
1326118009,1326117952,18.6915,18.673703523083095,
1326118009,1326117922,19.3227,18.694166561927354,
1326118009,1326117997,20.1672,18.729389883594365,
1326118009,1326117903,18.3054,18.96222453702781,
1326118009,1326117954,18.6432,19.344179986458503,
1326118009,1326117908,18.7923,19.770767733794802,
1326118009,1326117756,20.4679,20.36706616953917,
1326118009,1326117955,19.1951,20.700881188754938,
1326118009,1326118977,17.6048,21.013051873731015,
1326118009,1326117956,18.3866,21.346884841521657,
1326118009,1326117902,18.4614,21.613794025219676,
1326118009,346401737,17.8223,21.648020613870564,
1326118009,1326119068,20.0045,21.814421803610596,
1326118009,1326117998,20.6135,21.848107262998827,
1326118009,1326117767,20.5827,22.070088217662995,
1326118009,346401717,17.5357,22.246315645105433,
1326118009,346401720,14.7769,22.517123251751045,
1326118009,1326118837,19.156,22.592305214498573,
1326118009,1326118993,18.1355,22.86239533470652,
1326118009,1326117889,18.9215,23.15458839342868,
1326118009,1326117959,18.9872,23.16047376281327,
1326118009,1326117953,19.2693,23.28741728798932,
1326118009,1326117960,20.8627,23.69050020529056,
1326118009,518448687,18.5774,23.717311260548264,
1326118009,1326117906,19.6164,24.030867247155435,
1326118009,1326117757,19.7411,24.192443449888206,
1326118009,1326117717,18.0344,24.213887952203777,
1326118009,346401696,15.4913,24.261288633532327,SPLIT
1326118009,1326118847,19.8102,24.30880506022375,
1326118009,1326117988,19.6803,24.53563390034174,
1326118009,1326117961,18.825,24.65105076029437,
1326118009,1326118005,20.9382,24.728873949235197,
1326118009,1326118979,17.612,24.757807625910566,
1326118009,518448679,20.1292,24.841260458383086,
1326118009,1326117782,20.6746,24.869224227197115,
1326118009,346401639,17.6442,24.96423390722024,SPLIT
1326118009,1326117963,20.1742,24.985964239296848,
1326118009,1326117949,19.0227,25.06943434892976,
1326118009,1326118988,19.19,25.150954423442247,
1326118009,518448680,20.1974,25.538499551482087,
1326118009,1326119056,20.505,25.67782984182389,
1326118009,1326117986,20.3624,25.68390825094517,
1326118009,1326117754,20.0659,25.764663038176106,
1326118009,1326119055,20.6158,25.76559666733434,
1326118009,1326119034,19.7908,25.801708053219496,
1326118009,1326117890,18.7738,25.808482048000617,
1326118009,1326117987,20.2462,25.812029590039913,
1326118009,1326118000,20.8277,25.823553021280954,
1326118009,1326117755,18.6129,25.83741688984574,
1326118009,1326117783,20.6318,25.94798919323904,
1326118009,1326117753,19.1356,26.025948203081878,
1326118009,346401667,17.0852,26.04125976686433,
1326118009,1326117896,18.4547,26.044981672361775,
1326118009,1326117859,19.9015,26.050180056632115,
1326118009,1326117844,19.6921,26.07673501908388,
1326118009,1326118999,19.7567,26.187171992291702,
1326118009,1326119054,20.7651,26.242551455245064,
1326118009,1326117958,18.7789,26.399210106895485,
1326118009,1326119065,20.7776,26.407582265501883,
1326118009,1326117907,19.7096,26.695512196867497,
1326118009,346401738,16.7993,26.812955391559615,
1326118009,1326117892,19.9786,26.89641341591921,
1326118009,1326117965,18.4555,27.000975569921152,
1326118009,346401622,16.2736,27.03461660224568,
1326118009,346401648,15.3123,27.39182075104911,
1326118009,1326117985,20.2249,27.399385203709144,
1326118009,1326119059,20.5768,27.532303167267656,
1326118009,1326119003,18.5326,28.059985944673667,
1326118009,1326117806,18.3343,28.13155434311713,
1326118009,1326118849,20.2883,28.19646152304324,
1326118009,1326117766,20.5331,28.331658773757987,
1326118009,1326117850,20.4581,28.4481928456884,
1326118009,1326117895,17.9412,28.76926456929748,
1326118009,1326117948,20.3723,28.799248791158146,
1326118009,1326117904,18.5056,28.812723234833562,
1326118009,1326118978,18.7544,28.949081621818685,
1326118009,1326117751,18.5301,29.231594496815358,
1326118009,1326117957,18.793,29.29492123579722,
1326118009,1326117851,18.7468,29.469964502539298,
1326118009,1326117977,19.7653,29.90222851709629,
1326118009,1326117967,19.7127,30.2882986869367,
1326118009,346401689,17.6406,30.409083431047545,
1326118009,1326118980,17.9968,30.506501265034125,
1326118009,1326117964,18.688,30.572699481179036,
1326118009,1326117884,20.673,30.639968197777886,
1326118009,1326117893,18.5879,30.925956925358623,
1326118009,346948127,13.2111,30.939489197075105,
1326118009,1326117784,20.6487,31.015642362113237,
1326118009,346401670,16.7767,31.07650000087466,
