TIC,tess_eb_period,tess_eb_morph
270341486,7.4601658,0.48
25858367,2.2744901,0.558
61724376,1.9078996,0.603
101233501,14.54574,0.394
394230860,28.9649092,0.024
211116547,1.2769701,0.436
98064760,9.8980902,0.097
87260967,1.0905536,0.504
292474331,0.3666917,0.921
61898904,2.8760119,0.442
55652896,34.5183353,0.057
167697604,6.8965116,0.211
270204401,2.2381574,0.497
365366508,1.9645947,0.565
219927211,2.6933066,0.511
253826623,18.3530326,0.123
182894226,0.4086712,0.762
371839073,3.7959422,0.274
253749178,1.8376667,0.506
327785134,2.4786897,0.503
30816076,4.0831801,0.265
120393264,0.2093105,0.648
404156386,2.3444525,0.304
425675208,3.4083681,0.407
390996644,1.919436,0.574
319606464,1.4960875,0.395
419744996,7.0049837,0.503
358108063,5.9716437,0.249
407165509,1.4712922,0.529
113565705,1.6583723,0.89
280685089,3.385219,0.377
292013448,4.3281368,0.403
231081369,7.6314514,0.162
118271404,0.399752,0.851
339752629,0.397421,0.865
382312052,0.7972678,0.475
90911675,3.962421,0.448
49534600,7.9490097,0.166
181233908,2.7975315,0.633
380783252,9.9653085,0.716
318649597,0.926883,0.588
253844234,1.182335,0.541
2372579,9.9210976,0.082
380822025,8.480957,0.223
61381436,3.8884334,0.328
351336681,5.4182627,0.241
6400274,1.211232,0.512
238892775,0.4826575,0.935
349797905,3.545013,0.405
246745789,1.5370723,0.853
409934687,5.8727135,0.403
193831684,1.2933235,0.561
259901124,0.4560838,0.883
253657883,0.7905225,0.495
169316288,0.5591511,0.654
261746657,1.3169859,0.52
229810745,0.4975237,0.564
120341889,0.5010343,0.544
401606923,13.9175979,0.139
396215041,2.830784,0.394
200135791,21.9877425,0.234
97833468,2.2836154,0.803
211215485,1.7015012,0.605
316582319,1.4372009,0.63
118200081,0.9529892,0.522
56777828,1.6322573,0.948
118271395,0.3997855,0.848
300446210,7.8658514,0.151
61135882,5.6402419,0.233
320264006,9.2758197,0.202
345170707,4.0571153,0.312
80059889,3.0319176,0.342
253781040,0.2887024,0.944
276315375,2.0486948,0.496
320054835,5.8991823,0.404
76758733,14.6309618,0.197
304101379,3.2143602,0.81
180416826,2.1895269,0.27
370134610,14.4888418,0.163
365956683,5.7311592,0.552
128790976,3.5187572,0.212
404123632,3.3655398,0.423
211170874,1.8040897,0.367
387107961,2.7146603,0.457
425549135,5.0206961,0.211
101845679,1.2811036,0.405
273697554,11.8781034,0.158
161083755,0.3139064,0.913
169573910,1.4398097,0.603
469441650,1.6835965,0.596
61730680,0.3365551,0.818
101654574,18.459294,0.168
394657039,3.7628528,0.34
263074592,8.0693981,0.454
80252615,2.694707,0.639
340110295,1.6544428,0.897
50273697,0.3320699,0.977
303843296,1.7117262,0.937
30914235,3.0199529,0.414
320173862,0.1980963,0.544
277373390,1.1678694,0.528
180412528,4.5870046,0.16
60433558,10.8004431,0.368
90716944,16.050526,0.028
158301961,7.7615593,0.225
142783746,6.1512217,0.205
184008771,11.0251081,0.283
164458426,4.6932624,0.398
26543048,2.0051206,1.073
164558072,2.427493,0.526
377307592,1.1928601,0.579
158389967,0.3927173,0.735
280033934,0.2787725,0.761
41870248,2.8261627,0.31
232965249,3.7268563,0.311
233208885,0.4937368,0.616
350987976,1.2975694,0.577
121273032,3.4755735,0.414
27845677,33.16094,0.048
272489351,5.800498,0.35
229766985,0.4313565,0.867
159298033,1.724836,0.571
120499528,0.369151,0.772
7849727,0.993305,0.635
160195393,0.5728941,0.672
123014200,0.68456,0.653
288735205,3.477984,0.252
362104293,28.9620253,0.026
269126567,13.6752164,0.261
273376048,12.5688999,0.069
48191564,9.5689982,0.248
63451547,0.9791375,0.67
362187226,0.7939721,0.592
121945407,0.9055703,0.495
352165018,4.9045156,0.459
