TIC,bls_period,bls_depth,bls_snr,n_eclipses_observed,gap_edge_suspect,verdict,exoplanet_conflict,vsx_match,vsx_name,vsx_type,vsx_period,asassn_match,asassn_queried_ok,asassn_name,asassn_type,asassn_period,gaia_veb_match,gaia_veb_period,gaia_class_match,gaia_class,gaia_class_score,tess_eb_match,tess_eb_period,tess_eb_morph,toi_match,toi,toi_tess_disp,toi_tfopwg_disp,toi_period,period_check_source,period_check
309223749,4.47332957643921,0.0033844474747381,35.76623966566716,6.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
309656476,28.920445384241564,0.0004954977074599,24.60608357338353,6.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
311051394,7.080831199658748,0.0007609383960212,12.87293450677101,4.0,False,KNOWN_OTHER_TYPE,False,True,OGLE-GD-LPV-002638,M,442.4,False,True,,,,False,,True,LPV,0.9811984,False,,,False,,,,,vsx,disagrees(ratio=0.0160)
31165161,1.11148415910788,0.0910692166884198,412.897759198804,23.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
313365243,2.1012404531797464,0.0203149163954044,57.46347585064022,13.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
313371518,1.5338735100528418,0.0070839218664799,35.54743755608732,15.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
315681366,1.1625208308040975,0.0194407150606133,82.098374397933,20.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
318887646,14.281663889625127,0.0360494851192526,149.87732244709204,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
323764927,1.452583852349482,0.0077297186652595,76.56479646119588,19.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
326257760,36.11667616097966,0.000759732665063,18.24871040535082,8.0,False,KNOWN_OTHER_TYPE,False,False,,,,True,True,J195528.25+664427.5,L,--,False,,False,,,False,,,False,,,,,,no_catalog_period
329814247,1.7888355121697397,0.080007100252554,99.93723848423453,12.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
330871525,1.2694428203354196,0.1027129696724762,329.69298098251613,59.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
333569564,11.62314302219762,0.0173530714567269,146.31239779941296,4.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
333569585,11.605889954030934,0.0398616187184792,229.18536526079944,4.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
333732585,1.2330604906162843,0.0004061754793286,27.22695939265904,232.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
339901386,1.041345479842832,0.0114874117407563,27.56462311594321,42.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
344493385,14.506737269634511,0.067060248644215,285.9861973979182,3.0,True,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
346535587,6.093094634117019,0.0151622854763167,150.04725490876726,5.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
348345578,2.318967492949814,0.0524130509137125,75.95854419655619,10.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
